code_iris;nom_iris;code_commune;population_18_75;taux_vapotage_quotidien_pct;taux_vapotage_actuel_pct;nb_vapoteurs_quotidiens_estimes;taux_tabagisme_quotidien_pct;vapoteurs_pct_hommes;vapoteurs_pct_femmes;vapoteurs_pct_age_18_29;vapoteurs_pct_age_30_44;vapoteurs_pct_age_45_59;vapoteurs_pct_age_60_74;vapoteurs_pct_dipl_inf_bac;vapoteurs_pct_dipl_bac;vapoteurs_pct_dipl_sup_bac;vapoteurs_pct_actif_occ;vapoteurs_pct_chomeur;vapoteurs_pct_etudiant;vapoteurs_pct_retraite;vapoteurs_pct_autre_inactif;vapoteurs_pct_fumeurs_double_usage;vapoteurs_pct_ex_fumeurs;vapoteurs_pct_jamais_fumeurs;vapoteurs_pct_motif_sevrage;vapoteurs_pct_motif_reduction_sante;vapoteurs_pct_motif_economique;vapoteurs_pct_motif_recreatif;taux_p05;taux_p95
560070102;Kerdrain-Kerudo;56007;1633.0;8.92;12.16;146.0;22.41;56.1;43.9;19.5;35.0;31.8;13.8;47.8;20.5;31.7;70.4;10.4;5.9;2.5;10.7;46.9;50.2;2.8;40.6;26.9;20.9;11.6;7.98;9.93
560070103;Z.A. Sud-Ouest;56007;997.0;8.75;11.94;87.0;21.93;53.8;46.2;25.0;35.7;22.8;16.5;48.2;24.4;27.4;75.3;10.8;3.2;3.8;6.8;46.4;50.7;2.9;40.2;26.4;20.4;12.9;7.83;9.74
560070104;Zone Sud-Saint Goustan;56007;1826.0;8.23;11.17;150.0;20.68;51.4;48.6;19.0;30.0;31.0;20.0;40.9;24.1;35.0;71.9;10.9;5.3;2.8;9.2;44.9;52.1;2.9;41.6;26.4;20.5;11.4;7.37;9.16
560070105;Centre Ville Historique;56007;2113.0;8.73;11.94;185.0;21.65;56.2;43.8;26.1;31.2;26.9;15.9;43.0;22.9;34.1;68.5;14.2;5.9;3.3;8.0;46.1;51.0;2.9;40.3;26.2;20.3;13.2;7.81;9.71
560340101;Hors Agglomération;56034;1417.0;6.97;9.41;99.0;18.69;54.9;45.1;14.9;24.6;35.2;25.3;41.1;24.8;34.0;75.8;8.1;5.1;5.1;6.0;42.5;54.5;3.1;43.4;26.1;20.3;10.2;6.19;7.79
560340102;Agglomération;56034;1436.0;6.91;9.33;99.0;18.65;51.7;48.3;14.5;23.2;36.1;26.1;38.9;24.3;36.8;72.4;11.8;4.4;4.0;7.5;42.4;54.5;3.1;43.4;26.1;20.3;10.1;6.13;7.73
560360101;Centre;56036;1702.0;8.72;11.93;148.0;23.33;55.0;45.0;23.3;40.4;26.7;9.6;47.6;24.8;27.6;77.3;8.8;5.4;1.9;6.6;47.9;49.3;2.8;39.7;26.9;20.8;12.6;7.79;9.77
560360102;Sud;56036;1289.0;7.54;10.21;97.0;20.68;58.3;41.7;16.4;33.1;31.1;19.4;44.2;25.2;30.5;80.6;4.5;4.6;3.8;6.5;45.0;52.1;2.9;42.0;26.6;20.7;10.7;6.73;8.45
560360103;Nord;56036;1821.0;7.55;10.24;137.0;20.82;56.7;43.3;17.0;30.6;33.9;18.5;45.7;24.2;30.2;78.5;5.6;5.0;3.7;7.2;45.1;51.9;2.9;41.8;26.6;20.7;10.9;6.74;8.46
560750101;Sud et Bourg;56075;1428.0;8.45;11.56;121.0;22.98;57.2;42.8;23.1;33.8;31.0;12.0;53.6;24.1;22.3;75.2;10.1;6.4;2.1;6.2;47.6;49.6;2.8;39.9;26.8;20.8;12.5;7.56;9.44
